Text,Tag,Col0
TAX,O,
INVOICE,O,
(,O,
K,O,
),O,
Dated,B-INV_DL,
Invoice,B-INV_L,
No,I-INV_L,
.,I-INV_L,
SM/18,B-INV_NO,
-,I-INV_NO,
19/09101,I-INV_NO,
Delivery,O,
Note,O,
06-Mar-19,B-INV_DT,
Mode,O,
/,O,
Terms,O,
of,O,
Payment,O,
Supplier,O,
's,O,
Ref,O,
.,O,
Other,O,
Reference(s,O,
),O,
SHAH,B-SUPP_N,
MARKETING,I-SUPP_N,
(,O,
MANGALWAR,O,
PETH,O,
),O,
Shop,O,
No.6,O,
Llyods,O,
Chamber,O,
Barne,O,
Road,O,
409,O,
Mangalwar,O,
Peth,O,
Pune,O,
GSTINCHAL,B-GSTL,
:,O,
27ADXPS3921J1ZT,B-SUPP_G,
State,O,
Name,O,
:,O,
Maharashtra,O,
Code,O,
:,O,
27,O,
Contact,O,
:,O,
20,O,
-,O,
-,O,
26052747,O,
E,O,
-,O,
Mail,O,
:,O,
shahmarketing4@gmail.com,O,
Buyer,O,
SIDDHARTH,B-BUY_N,
PROPERTIES,I-BUY_N,
GEETAI,O,
SANKUL,O,
2ND,O,
FLOOR,O,
PAUD,O,
ROAD,O,
NEAR,O,
RELIANCE,O,
FRESH,O,
PUNE,O,
.,O,
GSTIN,B-GSTL,
/,I-GSTL,
UIN,I-GSTL,
:,O,
27AAZFS3607C1ZY,B-BUY_G,
State,O,
Name,O,
:,O,
Maharashtra,O,
Code,O,
:,O,
27,O,
Buyer,O,
's,O,
Order,O,
No,O,
.,O,
Dated,O,
Despatch,O,
Document,O,
No,O,
.,O,
Delivery,O,
Note,O,
Date,O,
Despatched,O,
through,O,
Destination,O,
Terms,O,
of,O,
Delivery,O,
SKYBAY,O,
SR,O,
Mhalunge,O,
Pune,O,
9689921859(Po,O,
No;-12839,O,
),O,
Contact,O,
person,O,
Contact,O,
E,O,
-,O,
Mail,O,
:,O,
Mr.,O,
Thube,O,
/,O,
Mane,O,
:,O,
8308824752,O,
nilesh.mane@saarrthigroup.co.in,O,
SI,O,
Description,O,
of,O,
Goods,O,
HSN,O,
/,O,
SAC,O,
GST,O,
Rate,O,
Quantity,O,
Rate,O,
per,O,
Disc,O,
.,O,
%,O,
Amount,O,
No,O,
1,O,
DWC,O,
PIPE,O,
SN-4,O,
170MM(ID)-200MM(OD,O,
),O,
X,O,
6MTR,O,
3917,O,
18,O,
%,O,
10,O,
Nos,O,
.,O,
Nos,O,
.,O,
54,O,
%,O,
Gst,O,
Transport,O,
CGST,O,
0.36,O,
SGST,O,
Round,O,
Off,O,
An,O,
39,O,
Tax,O,
SITE,O,
NAME,O,
:,O,
RECEIVED,O,
SIGN,O,
:,O,
DATE,O,
:,O,
сон,O,
Decla,O,
cert,O,
Orci,O,
OOC,O,
san,O,
Rat,O,
Transport,O,
Totai,B-GT_AMTL,
10,O,
Nos,O,
.,O,
"29,616",B-GT_AMT,
Amount,O,
Chargeable,O,
(,O,
in,O,
words,O,
),O,
E,O,
&,O,
O.,O,
E,O,
Indian,O,
Rupees,O,
Twenty,O,
Nine,O,
Thousand,O,
Six,O,
Hundred,O,
Sixteen,O,
Only,O,
HSN,O,
/,O,
SAC,O,
Taxable,O,
Central,O,
Tax,O,
State,O,
Tax,O,
Total,O,
Value,O,
Rate,O,
Amount,O,
Rate,O,
Amount,O,
Tax,O,
Amount,O,
3917,O,
Tax,O,
Amount,O,
(,O,
in,O,
words,O,
),O,
:,O,
Indian,O,
Rupees,O,
Four,O,
Thousand,O,
Five,O,
Hundred,O,
Seventeen,O,
and,O,
Sixty,O,
Four,O,
paise,O,
Only,O,
Company,O,
's,O,
Bank,O,
Details,O,
Company,O,
's,O,
PAN,O,
ADXPS3921J,O,
Bank,O,
Name,O,
:,O,
KOTAK,O,
MAHINDRA,O,
BANK,O,
Declaration,O,
A,O,
/,O,
C,O,
No,O,
.,O,
:,O,
5711312022,O,
I,O,
/,O,
We,O,
hereby,O,
certify,O,
that,O,
my,O,
/,O,
our,O,
registration,O,
certificate,O,
under,O,
the,O,
Branch,O,
&,O,
IFS,O,
Code,O,
:,O,
Khadki,O,
&,O,
KKBK0000727,O,
GST,O,
Act-2017,O,
is,O,
in,O,
force,O,
on,O,
the,O,
date,O,
on,O,
which,O,
the,O,
sale,O,
of,O,
the,O,
for,O,
SHAH,O,
MARKETING,O,
(,O,
MANGALWAR,O,
PETH,O,
),O,
goods,O,
specified,O,
in,O,
this,O,
Tax,O,
Invoice,O,
is,O,
made,O,
by,O,
melus,O,
and,O,
that,O,
the,O,
transactions,O,
of,O,
sales,O,
covered,O,
by,O,
this,O,
Tax,O,
Invoice,O,
has,O,
been,O,
effected,O,
by,O,
sale,O,
has,O,
been,O,
paid,O,
or,O,
shall,O,
be,O,
paid,O,
.,O,
Almorised,O,
Signatory,O,
SUBJECT,O,
TO,O,
PUNE,O,
JURISDICTION,O,
NHAH,O,
This,O,
is,O,
a,O,
Computer,O,
Generated,O,
Invoice,O,
TARA,O,
